ticker,buydate,selldate
FIG,2025-07-31,2025-08-06
DOCN,2025-07-28,2025-08-06
SOUN,2025-07-07,2025-08-05
RGTI,2025-07-02,2025-08-05
CELH,2025-07-01,2025-08-05
RDDT,2025-06-30,2025-08-05
JPM,2025-06-26,2025-08-25
UPWK,2025-06-25,2025-08-05
SMCI,2025-06-23,2025-08-05
AFRM,2025-06-17,2025-08-05
BBAI,2025-06-16,2025-08-05
NVO,2025-06-12,2025-08-05
ACN,2025-06-10,2025-08-05
SEZL,2025-06-09,2025-06-25
CRCL,2025-06-05,2025-06-12
ORCL,2025-06-05,2025-08-05
APLD,2025-06-02,2025-08-05
TIGO,2025-05-29,2025-08-05
SBUX,2025-05-28,2025-08-05
WDAY,2025-05-27,2025-08-05
GOOGL,2025-05-22,2025-08-05
PANW,2025-05-21,2025-08-05
CRM,2025-05-19,2025-08-05
UNH,2025-05-16,2025-08-05
PLTR,2025-05-13,2025-08-05
META,2025-05-12,2025-08-05
HWM,2025-05-09,2025-08-05
NVDA,2025-05-07,2025-08-05
ZS,2025-05-06,2025-06-01
TTWO,2025-05-01,2025-06-02
ETOR,2025-05-14,2025-05-20
CRWV,2025-03-28,2025-04-04
RXRX,2025-03-17,2025-04-17
TTD,2025-02-25,2025-05-30
AVGO,2025-02-19,2025-05-19
NBIS,2025-02-14,2025-02-17
PANW,2025-02-05,2025-05-23
RDDT,2025-01-31,2025-05-30
NVDA,2025-01-28,2025-04-25
NOW,2025-01-27,2025-04-24
META,2025-01-20,2025-04-18
NFLX,2025-01-16,2025-02-14
RIO,2025-01-14,2025-02-14
BLK,2025-01-13,2025-02-13
UBER,2025-01-07,2025-05-25
CRNC,2025-01-06,2025-05-06
AIR,2024-12-30,2025-01-30
TGTX,2024-12-27,2025-04-28
TWST,2024-12-24,2025-05-16
VRTX,2024-12-22,2025-03-17
MPWR,2024-12-17,2025-03-15
NVDA,2024-12-12,2025-02-27
AI,2024-12-10,2025-05-09
NKE,2024-12-09,2025-05-09
RGTI,2024-12-04,2025-01-30
VEEV,2024-12-03,2025-04-03
SMCI,2024-12-02,2025-03-26